20040,Moguer,24
20105,Teguise,43
20269,Alhama de Murcia,45
20360,Aspe,48
20407,Guadix,32
20418,Rosas,28
20450,Manlleu,50
20481,Algete,51
20535,Guía de Isora,40
20597,Ayamonte,24
20622,Pájara,43
20730,Alfafar,49
20755,Ribarroja del Turia,49
20862,Baena,35
20935,Carcagente,49
20948,Los Llanos de Aridane,40
20953,Rojales,48
21025,San Juan de Aznalfarache,46
21097,Maracena,32
21100,Mairena del Alcor,46
21111,Puebla de Vallbona,49
21216,Lalín,36
21220,Bétera,49
21266,Cabra,35
21268,Piélagos,27
21282,Las Torres de Cotillas,45
21331,Conil de la Frontera,44
21332,Alfaz del Pi,48
21365,Amposta,34
21373,Vilaseca,34
21448,Requena,49
21605,Palma del Río,35
21632,Medina del Campo,30
21688,Loja,32
21705,Barañáin,23
21717,Calatayud,38
21719,Isla Cristina,24
21828,La Estrada,36
21847,Moncada,49
21895,Armilla,32
21957,Nerja,47
21975,San Felíu de Guixols,28
21982,Baza,32
22011,Mondragón,29
22030,Coín,47
22042,Esparreguera,50
22110,Laguna de Duero,30
22117,Torrelodones,51
22136,San Antonio Abad,41
22138,San Juan de Alicante,48
22173,Cártama,47
22204,Almonte,24
22351,La Oliva,43
22409,Alboraya,49
22482,Illescas,17
22536,El Masnou,50
22555,Pilar de la Horadada,48
22587,Los Barrios,44
22622,Palafrugell,28
22638,Mogán,43
22656,Ciempozuelos,51
22658,Zarauz,29
22759,Alcalá la Real,25
22812,Mejorada del Campo,51
22832,Castrillón,39
22871,San José,41
22977,Barbate,44
22997,Liria,49
23066,Muchamiel,48
23115,Navalcarnero,51
23129,Castellar del Vallés,50
23310,Tomares,46
23316,Puenteareas,36
23410,Vícar,33
23563,Priego de Córdoba,35
23615,Tacoronte,40
23621,Cambre,37
23646,Olesa de Montserrat,50
23675,Alhaurín el Grande,47
23813,Cullera,49
23861,Ibi,48
23903,San Pedro del Pinatar,45
23907,Montilla,35
23980,Paiporta,49
24006,Altea,48
24140,Candelaria,40
24231,Icod de los Vinos,40
24236,Molins de Rey,50
24294,Erandio,42
24423,Calafell,34
24473,Gáldar,43
24512,Adra,33
24707,Martos,25
24876,Calahorra,16
25158,Valls,34
25191,Santa Perpetua de Moguda,50
25472,Cuart de Poblet,49
25628,Almazora,31
25654,Almansa,22
25778,Onda,31
25893,Pineda de Mar,50
25913,Cangas,36
25997,Marín,36
26015,Jumilla,45
26086,Camas,46
26111,Villanueva de la Serena,26
26449,Caravaca de la Cruz,45
26616,Benicarló,31
26682,San Andrés de la Barca,50
26686,Villarrobledo,22
26725,Villaviciosa de Odón,51
26763,Lepe,24
26783,Lebrija,46
26815,Martorell,50
26941,Campello,48
27016,Salou,34
27104,Novelda,48
27175,Catarroja,49
27378,Éibar,29
27504,Ribeira,37
27703,Almuñécar,32
27802,Premiá de Mar,50
27900,Ames,37
28024,San Vicente dels Horts,50
28242,Níjar,33
28261,Durango,42
28261,Sitges,50
28273,Vinaroz,31
28307,Oliva,49
28329,Algemesí,49
28399,San Pedro de Ribas,50
28467,Morón de la Frontera,46
28576,Carmona,46
28654,Coria del Río,46
28738,Crevillente,48
28738,Culleredo,37
28904,Rota,44
28926,Sueca,49
29050,Mahón,41
29224,Sestao,42
29254,Galdácano,42
29321,Inca,41
29333,Totana,45
29361,Játiva,49
29431,Agüimes,43
29547,Ciudadela de Menorca,41
29588,San Roque,44
29640,Ingenio,43
29909,Calpe,48
30067,Redondela,36
30245,Puente Genil,35
30255,Arteijo,37
30262,Lejona,42
30270,Alacuás,49
30303,Aldaya,49
30304,Salt,28
30508,Manises,49
30910,Chirivella,49
31109,Hellín,22
31120,Alcázar de San Juan,18
31149,Carballo,37
31306,San Andrés del Rabanedo,19
31370,Valdepeñas,18
31449,Arcos de la Frontera,44
31552,Camargo,27
31688,Barberá del Vallés,50
31820,San Javier,45
31909,Jávea,48
32258,Castro-Urdiales,27
32338,San Juan Despí,50
32393,Galapagar,51
32422,Cambrils,34
32471,Torre Pacheco,45
32507,Santa Pola,48
32571,Puerto de la Cruz,40
32637,Santa Eulalia del Río,41
32983,Vall de Uxó,31
33154,Aranda de Duero,21
33550,Oleiros,37
33589,Olot,28
33656,Moncada y Reixach,50
33735,Azuqueca de Henares,12
33883,Marrachí,41
33975,Almendralejo,26
34104,San Adrián de Besós,50
34344,Villajoyosa,48
34473,Tortosa,34
34643,Petrer,48
34896,Burriana,31
34900,Águilas,45
34945,Yecla,45
34968,Villena,48
35241,Teruel,0
35268,Tudela,23
35385,Cieza,45
35464,Mazarrón,45
35702,Puerto del Rosario,43
35832,Alhaurín de la Torre,47
36025,Úbeda,25
36028,El Vendrell,34
36227,Don Benito,26
36641,La Rinconada,46
36681,Llucmajor,41
36745,Arucas,43
36909,Ronda,47
37151,Ripollet,50
37279,Los Palacios y Villafranca,46
37658,Los Realejos,40
37926,Villagarcía de Arosa,36
37935,Onteniente,49
38170,Burjasot,49
38218,Villafranca del Panadés,50
38285,Narón,37
38641,Tomelloso,18
39020,Rentería,29
39038,Miranda de Ebro,21
39149,Igualada,50
39171,Andújar,25
39794,Lloret de Mar,28
39838,Soria,1
39922,Rincón de la Victoria,47
40010,Blanes,28
40422,Vic,50
40534,Écija,46
40667,Puerto Real,44
40859,Manacor,41
40862,Granadilla de Abona,40
41147,Tres Cantos,51
41326,Alcantarilla,45
41384,San Fernando de Henares,51
41427,La Orotava,40
41447,Plasencia,13
41510,Mairena del Aljarafe,46
42308,Lucena,35
42452,Basauri,42
43112,San Feliú de Llobregat,50
43688,Mieres,39
43792,Mislata,49
43801,Adeje,40
44255,Figueras,28
44437,Colmenar Viejo,51
44498,Denia,48
44524,Pinto,51
44709,Boadilla del Monte,51
44758,Alcira,49
45234,Antequera,47
45397,Langreo,39
46649,Esplugas de Llobregat,50
46649,Gavá,50
47101,Santurce,42
47856,Portugalete,42
49516,Ibiza,41
51177,Utrera,46
51367,Villarreal,31
51462,Calviá,41
51730,Siero,39
52300,Puertollano,18
52347,Huesca,2
52459,Mollet del Vallés,50
53135,Arganda del Rey,51
53288,San Bartolomé de Tirajana,43
54088,San Vicente del Raspeig,48
54815,Elda,48
55054,Aranjuez,51
55748,Segovia,3
55888,Torrelavega,27
56189,Cuenca,4
57127,Mérida,26
58156,Arrecife,43
58245,Ávila,5
58407,Sardañola del Vallés,50
59691,Granollers,50
59900,Collado Villalba,51
60884,Motril,32
60938,Irun,29
61306,Linares,25
61383,Benalmádena,47
61417,Alcoy,48
62250,Castelldefels,50
63434,El Prat de Llobregat,50
64077,Viladecans,50
64645,La Línea de la Concepción,44
64845,Santa Lucía de Tirajana,43
65815,Molina de Segura,45
65921,Paterna,49
65992,Valdemoro,51
65998,Zamora,6
66150,Estepona,47
66259,Sagunto,49
66532,Villanueva y Geltrú,50
66541,Sanlúcar de Barrameda,44
66957,Torremolinos,47
68767,Ponferrada,19
69439,Majadahonda,51
70840,Rivas-Vaciamadrid,51
71198,Benidorm,48
71740,Alcalá de Guadaíra,46
71783,Fuengirola,47
73591,Rubí,50
73638,Ferrol,37
74345,Ciudad Real,18
75623,Vélez-Málaga,47
76034,Melilla,7
76209,Manresa,50
76362,Mijas,47
78157,San Sebastián de los Reyes,51
78591,Chiclana de la Frontera,44
79377,Arona,40
79430,Gandía,49
79843,Torrente,49
80277,Guecho,42
80579,Ceuta,8
81745,Sant Cugat del Vallés,50
81981,Pontevedra,36
82169,Palencia,9
82411,San Baudilio de Llobregat,50
82489,Toledo,17
82804,Pozuelo de Alarcón,51
83789,Guadalajara,12
84202,Avilés,39
85389,El Ejido,33
85808,Roquetas de Mar,33
87113,Orihuela,48
87240,Cornellá de Llobregat,50
88065,Las Rozas de Madrid,51
88503,El Puerto de Santa María,44
88986,Talavera de la Reina,17
91218,Coslada,51
92694,Lorca,45
94179,Cáceres,13
94824,Santiago de Compostela,37
96236,Gerona,28
96635,Lugo,10
96689,San Fernando,44
99321,Baracaldo,42
100900,Telde,43
101091,Torrevieja,48
106622,Reus,34
108674,Orense,11
110080,Alcobendas,51
116417,Algeciras,44
116790,Jaén,25
118441,Torrejón de Ardoz,51
120060,Santa Coloma de Gramanet,50
120182,Parla,51
122905,Mataró,50
125086,Dos Hermanas,46
125826,Cádiz,44
134012,León,19
134933,Tarragona,34
136322,Marbella,47
137387,Lérida,14
149310,Huelva,24
150376,Badajoz,26
152222,San Cristóbal de la Laguna,40
152650,Logroño,16
154462,Salamanca,15
168299,Alcorcón,51
169130,Getafe,51
170475,Albacete,22
178574,Burgos,21
180690,Castellón de la Plana,31
181589,Santander,27
185506,San Sebastián,29
187227,Leganés,51
190013,Almería,33
197488,Pamplona,23
198973,Fuenlabrada,51
204120,Alcalá de Henares,51
206015,Móstoles,51
207338,Sabadell,50
208896,Jerez de la Frontera,44
212724,Tarrasa,50
214165,Cartagena,45
218886,Badalona,50
222643,Santa Cruz de Tenerife,40
225155,Oviedo,39
230822,Elche,48
238247,Vitoria,20
239154,Granada,32
246056,La Coruña,37
258642,Hospitalet de Llobregat,50
278258,Gijón,39
297124,Vigo,36
315522,Valladolid,30
328547,Córdoba,35
334418,Alicante,48
353187,Bilbao,42
383308,Las Palmas de G. C.,43
404681,Palma de Mallorca,41
441345,Murcia,45
568507,Málaga,47
675121,Zaragoza,38
704198,Sevilla,46
809267,Valencia,49
1619337,Barcelona,50
3273049,Madrid,51